Frequency_Hz,IV_Loop_Area,DeltaG_S
10,0.00429461952488916,0.00995244888254874
25,0.00326794051371751,0.00995244888254874
50,1.15509729006592e-08,7.57012190653888e-06
100,3.98977028481133e-09,-2.34360599928049e-08
250,8.62989751624759e-10,-4.34473993375206e-09
500,2.42351605805277e-10,-1.14951874432526e-09
