Frequency_Hz,IV_Loop_Area,DeltaG_S
50,1.0385422706631e-14,-2.31197175390874e-12
100,5.20162480543822e-15,-2.31391155422565e-12
200,2.60297765799072e-15,-2.31488411067942e-12
500,1.04160581242396e-15,-2.31546667961175e-12
1000,5.21001105097398e-16,-2.31566136166435e-12
