Amplitude_V,IV_Loop_Area
0.25,8.03038023701196e-06
0.5,2.41286096189419e-05
0.75,2.9971132203252e-05
1,3.53771578724018e-05
1.25,4.08088524141648e-05
1.5,4.63969516036205e-05
