Amplitude_V,IV_Loop_Area,Min_x,Max_x
0.25,2.8241476208166e-08,0.66003527305003,0.903010033444816
0.5,1.40496051883347e-07,0.527819167592067,0.903010033444816
0.75,3.32680236179378e-07,0.424993203959848,0.903010033444816
1,5.94132379219462e-07,0.337834338177872,0.903010033444816
1.25,9.1607416116807e-07,0.260818579488247,0.903010033444816
